lemma,pos,cefr
yup,noun,B1
Abbott,name,B2
Abby,name,B2
abdomen,noun,B2
Abdullah,name,B2
Abe,noun,B2
absent,adj,B2
accidental,adj,B2
accuse,noun,B2
accusing,adj,B2
adequate,adjective,B2
admire,verb,B2
advocated,verb,B2
Afghan,adj,B2
ahh,verb,B2
airborne,adj,B2
airborne,noun,B2
AJ,name,B2
alas,noun,B2
albeit,conj,B2
Alley,name,B2
ally,noun,B2
alternating,verb,B2
amen,intj,B2
ana,adv,B2
ana,noun,B2
antarctic,adj,B2
anticipate,verb,B2
API,name,B2
apocalypse,verb,B2
apologies,intj,B2
apples,adj,B2
approx,adv,B2
archive,verb,B2
articulate,verb,B2
assessment,noun,B2
assign,verb,B2
atop,prep,B2
Augustine,noun,B2
az,adv,B2
backbone,noun,B2
bacterial,adj,B2
badass,adj,B2
badges,verb,B2
balance,verb,B2
bamboo,adj,B2
bananas,adj,B2
bandwidth,noun,B2
banning,verb,B2
Barbie,name,B2
Baron,name,B2
basil,noun,B2
batch,noun,B2
bathing,verb,B2
batting,noun,B2
batting,verb,B2
BB,name,B2
Bean,name,B2
beetle,noun,B2
Bells,name,B2
beneficial,adjective,B2
Bengal,noun,B2
beverage,noun,B2
bingo,intj,B2
bitches,noun,B2
biting,adj,B2
blackberry,noun,B2
bladder,verb,B2
Bland,name,B2
bloody,adjective,B2
bloom,verb,B2
blunt,adj,B2
blunt,noun,B2
BMW,verb,B2
boil,verb,B2
bolivia,noun,B2
bombed,verb,B2
Bonnie,name,B2
boobs,verb,B2
borrowing,verb,B2
bothering,noun,B2
boycott,verb,B2
brackets,noun,B2
brag,noun,B2
bra,noun,B2
Brett,name,B2
brett,noun,B2
Brew,name,B2
Brussels,name,B2
bubbles,noun,B2
buckets,noun,B2
burgle,verb,B2
Buys,name,B2
cakes,noun,B2
cancers,noun,B2
canoe,noun,B2
cart,verb,B2
carving,noun,B2
Casey,name,B2
cast,verb,B2
catalogue,verb,B2
catcher,noun,B2
catering,noun,B2
CDC,name,B2
cellphone,noun,B2
champagne,verb,B2
Champ,name,B2
chaotic,adj,B2
cherry,noun,B2
choked,verb,B2
circuits,noun,B2
circus,noun,B2
classmates,noun,B2
Claude,name,B2
clone,noun,B2
Closes,name,B2
clusters,verb,B2
cluster,noun,B2
coating,verb,B2
cobb,noun,B2
COBRA,name,B2
cocktail,adj,B2
cocoa,noun,B2
cody,noun,B2
cohen,noun,B2
coherent,adj,B2
Colt,name,B2
colt,verb,B2
comforting,adj,B2
committees,noun,B2
committing,noun,B2
communicating,verb,B2
compile,verb,B2
comprising,verb,B2
comp,noun,B2
comp,verb,B2
concluding,verb,B2
condemnation,noun,B2
confine,verb,B2
confirms,verb,B2
conversely,adv,B2
convert,verb,B2
Copenhagen,noun,B2
coping,noun,B2
Cornwall,name,B2
Corpus,name,B2
corrections,noun,B2
costly,noun,B2
counterpart,noun,B2
courtesy,noun,B2
courtyard,noun,B2
Covert,name,B2
COVID,noun,B2
coward,noun,B2
crafting,noun,B2
crashes,verb,B2
cries,verb,B2
Crosby,name,B2
crushing,noun,B2
crust,verb,B2
CR,name,B2
cultivation,noun,B2
curiosity,noun,B2
curling,noun,B2
curl,verb,B2
curry,verb,B2
cursor,noun,B2
Czech,adj,B2
daniels,noun,B2
darn,verb,B2
dat,conj,B2
debated,verb,B2
deceptive,adjective,B2
dedicate,noun,B2
defenses,verb,B2
deity,noun,B2
Delight,name,B2
dell,noun,B2
deputy,noun,B2
descend,verb,B2
despair,noun,B2
DIN,name,B2
dioxide,noun,B2
diploma,noun,B2
discharge,verb,B2
disgrace,verb,B2
disguised,adj,B2
dishonest,adj,B2
dispersed,verb,B2
distortion,noun,B2
disturb,verb,B2
DNA,noun,B2
Dodge,name,B2
doe,noun,B2
dolls,noun,B2
dolphin,noun,B2
dosage,noun,B2
DOS,noun,B2
Dover,name,B2
dove,verb,B2
downloading,noun,B2
downsize,verb,B2
downstairs,adj,B2
Dow,name,B2
drafts,noun,B2
drains,noun,B2
dreadful,adj,B2
dread,adj,B2
dread,verb,B2
drift,noun,B2
Dryer,name,B2
DS,name,B2
Ds,noun,B2
ea,det,B2
economical,adj,B2
edit,verb,B2
educators,noun,B2
Einstein,name,B2
elephants,noun,B2
embarked,verb,B2
Emmy,noun,B2
emphasized,adj,B2
enforce,verb,B2
enrichment,noun,B2
equip,verb,B2
es,conj,B2
ES,noun,B2
Ethan,name,B2
evaluation,noun,B2
ew,verb,B2
examining,verb,B2
exempt,noun,B2
exile,noun,B2
faa,noun,B2
fabricated,adj,B2
factor,noun,B2
falcons,verb,B2
fascinated,verb,B2
FCC,adj,B2
Feathers,name,B2
feeds,noun,B2
fences,verb,B2
Fertile,name,B2
fetus,noun,B2
Fiji,name,B2
Filipino,name,B2
financially,adverb,B2
fined,verb,B2
Finnish,noun,B2
firefighters,noun,B2
fireworks,noun,B2
flirting,verb,B2
Florence,name,B2
fluid,adjective,B2
folded,adj,B2
folding,verb,B2
forefront,noun,B2
Foremost,name,B2
forums,noun,B2
forwards,adj,B2
Fowler,name,B2
fraudulent,adj,B2
freestyle,noun,B2
friendships,noun,B2
fulfilling,adj,B2
fulfill,verb,B2
fume,noun,B2
fuse,verb,B2
fuss,noun,B2
fu,intj,B2
gadgets,noun,B2
gala,noun,B2
gale,verb,B2
GC,verb,B2
gee,intj,B2
Geoffrey,name,B2
GF,name,B2
ghetto,adj,B2
gif,noun,B2
gigs,noun,B2
Gill,name,B2
gill,noun,B2
glamorous,adj,B2
gleam,noun,B2
Goldman,name,B2
goofy,adv,B2
gossip,verb,B2
GP,name,B2
grape,adj,B2
grip,verb,B2
groom,noun,B2
hacker,verb,B2
Hamburg,name,B2
Hamburg,noun,B2
handing,verb,B2
Handler,name,B2
Hanson,name,B2
Hans,name,B2
han,noun,B2
harness,noun,B2
hastings,noun,B2
hath,verb,B2
haunting,adjective,B2
haunt,noun,B2
hazards,noun,B2
Hazard,name,B2
hee,pron,B2
heh,noun,B2
Herd,name,B2
highways,noun,B2
Hispanic,noun,B2
honors,adj,B2
Hooks,name,B2
hormone,noun,B2
hourly,adjective,B2
idle,adj,B2
ignorant,adjective,B2
illegally,adv,B2
illustrations,noun,B2
immunity,noun,B2
implied,verb,B2
imports,verb,B2
impress,verb,B2
impulse,noun,B2
incurred,verb,B2
indicted,verb,B2
inferior,adj,B2
inflammatory,adjective,B2
institutes,verb,B2
insulting,adj,B2
insult,verb,B2
interacting,adj,B2
introductory,adj,B2
inviting,adj,B2
ironically,adverb,B2
ironic,adj,B2
irrational,adj,B2
irrational,noun,B2
ivory,noun,B2
Ivy,name,B2
jade,verb,B2
jailed,verb,B2
Jaime,name,B2
Jakarta,name,B2
Jew,noun,B2
Jill,noun,B2
JS,noun,B2
junction,verb,B2
Jurassic,name,B2
Kane,name,B2
kangaroo,noun,B2
Kathy,name,B2
kat,noun,B2
Kenneth,name,B2
kidnapping,noun,B2
kingdoms,noun,B2
known,adjective,B2
Lamar,name,B2
landmark,noun,B2
lanes,noun,B2
LAN,noun,B2
laps,verb,B2
lays,noun,B2
Leafs,name,B2
lecturer,noun,B2
legged,adj,B2
Leonardo,noun,B2
liabilities,noun,B2
licensing,verb,B2
lighthouse,noun,B2
lightly,adv,B2
literal,adjective,B2
lively,noun,B2
Losers,name,B2
lotus,noun,B2
lounge,verb,B2
lucrative,adj,B2
luggage,noun,B2
lumber,noun,B2
luxurious,adj,B2
maintains,verb,B2
Malik,name,B2
Manners,name,B2
manual,noun,B2
margins,noun,B2
massacre,noun,B2
McCoy,name,B2
McKay,name,B2
meadow,verb,B2
mediated,verb,B2
mediocre,adj,B2
melting,noun,B2
meme,verb,B2
mentioning,noun,B2
merger,noun,B2
messaging,noun,B2
metallic,noun,B2
metaphor,verb,B2
Methodist,adj,B2
MF,adj,B2
mickey,verb,B2
mic,noun,B2
Minors,name,B2
MIT,name,B2
MIT,phrase,B2
mix,noun,B2
mn,verb,B2
mock,verb,B2
Mohammad,name,B2
Moose,name,B2
mosaic,noun,B2
Moses,intj,B2
multitude,noun,B2
mumble,noun,B2
Myers,name,B2
NAS,name,B2
nationality,noun,B2
nausea,noun,B2
needles,adj,B2
needles,noun,B2
neglected,verb,B2
negligence,noun,B2
neither,conjunction,B2
Newman,name,B2
Nigel,noun,B2
ninja,verb,B2
NL,noun,B2
NM,name,B2
nodes,noun,B2
NOEL,noun,B2
nominal,noun,B2
northwestern,noun,B2
nothin,pron,B2
NSW,name,B2
Null,name,B2
nut,noun,B2
objected,verb,B2
observers,noun,B2
oceans,noun,B2
Olivia,name,B2
ooh,intj,B2
operative,noun,B2
orchestral,adjective,B2
organizing,verb,B2
OU,name,B2
overall,adverb,B2
overwhelmed,adj,B2
overwhelmingly,adv,B2
Oyster,name,B2
paced,verb,B2
packet,noun,B2
Pains,name,B2
Panama,noun,B2
panel,noun,B2
papa,noun,B2
paranoid,adj,B2
Patriot,name,B2
paycheck,noun,B2
payment,noun,B2
peaked,adj,B2
Peanut,name,B2
Pearls,name,B2
Penn,name,B2
pensions,noun,B2
pens,verb,B2
Perks,name,B2
Persian,adj,B2
personnel,noun,B2
persuade,verb,B2
picnic,noun,B2
piers,noun,B2
Pigeon,name,B2
pillow,verb,B2
pioneer,noun,B2
pirate,adj,B2
pistol,noun,B2
pitched,verb,B2
pity,intj,B2
pi,adj,B2
plains,verb,B2
Playboy,name,B2
PLC,noun,B2
pluck,verb,B2
polo,noun,B2
Poppy,name,B2
posed,adj,B2
poultry,noun,B2
pounding,verb,B2
pouring,noun,B2
practicality,noun,B2
praising,verb,B2
prejudice,verb,B2
premiums,noun,B2
preseason,verb,B2
pres,verb,B2
pretended,adj,B2
prevailing,verb,B2
prevention,noun,B2
probe,verb,B2
professions,noun,B2
prompt,noun,B2
propose,noun,B2
proprietary,adj,B2
prose,verb,B2
proxy,adj,B2
psychiatric,adj,B2
psychic,noun,B2
puck,verb,B2
purge,noun,B2
purity,noun,B2
Python,noun,B2
quantify,verb,B2
rad,adj,B2
rampant,adv,B2
rape,noun,B2
receipts,verb,B2
Reel,name,B2
referendum,noun,B2
refined,verb,B2
reflective,adjective,B2
refreshing,noun,B2
refugee,noun,B2
relied,verb,B2
remarkably,adverb,B2
renovation,noun,B2
renting,noun,B2
replay,verb,B2
reproductive,adj,B2
Reservoir,name,B2
resides,verb,B2
restrictive,adj,B2
restrict,verb,B2
retrieve,verb,B2
rewarded,verb,B2
rewarding,adj,B2
rex,verb,B2
roaming,verb,B2
rock,verb,B2
rode,verb,B2
Rodgers,name,B2
Rosie,noun,B2
Royalty,name,B2
rubbing,noun,B2
rue,noun,B2
Rum,name,B2
sage,verb,B2
sailed,adj,B2
Sally,name,B2
sanitary,adjective,B2
Satan,noun,B2
Saul,name,B2
SB,adv,B2
scanning,verb,B2
scholarships,noun,B2
Schwartz,name,B2
scotch,noun,B2
scrub,adj,B2
seesaw,noun,B2
selfies,verb,B2
Serbian,noun,B2
sermon,noun,B2
sermon,verb,B2
sexist,adj,B2
shaken,verb,B2
shakes,noun,B2
shaping,verb,B2
shell,verb,B2
shoots,verb,B2
shovel,verb,B2
shrink,noun,B2
shutting,verb,B2
Sh,noun,B2
sic,verb,B2
simultaneous,adj,B2
skilled,adjective,B2
slap,adv,B2
sleeve,noun,B2
slower,adv,B2
slowing,verb,B2
Snakes,name,B2
Snapchat,name,B2
snapped,verb,B2
sneaky,adj,B2
SNP,noun,B2
soak,verb,B2
sob,verb,B2
societal,adj,B2
solving,verb,B2
sparks,verb,B2
specifications,noun,B2
specimens,noun,B2
spectacle,noun,B2
spine,noun,B2
splash,noun,B2
spoiled,verb,B2
sponsorship,noun,B2
squeeze,verb,B2
stalls,verb,B2
stall,verb,B2
standby,adjective,B2
Starbucks,noun,B2
stare,verb,B2
starred,adj,B2
starve,verb,B2
statewide,adv,B2
stat,verb,B2
steep,adj,B2
Steer,name,B2
stimulating,adj,B2
stitches,verb,B2
stoke,noun,B2
stool,noun,B2
storyline,noun,B2
storytelling,noun,B2
strap,noun,B2
strengths,verb,B2
stretches,verb,B2
strips,verb,B2
stroll,verb,B2
stud,verb,B2
stuffed,adj,B2
submerged,verb,B2
subs,noun,B2
subtle,adjective,B2
successes,noun,B2
suitcase,verb,B2
summers,verb,B2
supervisors,noun,B2
sway,verb,B2
swearing,noun,B2
swing,noun,B2
swipe,verb,B2
tags,verb,B2
Tame,name,B2
tang,verb,B2
tara,noun,B2
taxation,noun,B2
tearing,adj,B2
telegram,noun,B2
telescope,noun,B2
televised,verb,B2
tempting,adj,B2
tenants,verb,B2
tenant,noun,B2
tense,adj,B2
termed,verb,B2
terminals,noun,B2
terrace,noun,B2
TF,noun,B2
theatrical,adj,B2
theological,adj,B2
therapeutic,noun,B2
therapist,noun,B2
thinner,noun,B2
tighter,adj,B2
tight,adverb,B2
Tilt,name,B2
Tipping,name,B2
toes,noun,B2
tomato,noun,B2
tomb,verb,B2
torch,noun,B2
torque,verb,B2
tougher,adj,B2
tracked,adj,B2
tract,verb,B2
trademark,verb,B2
traitor,noun,B2
translates,noun,B2
trolley,noun,B2
troubling,verb,B2
TS,name,B2
ts,pron,B2
tucker,verb,B2
turbo,adj,B2
turbulence,noun,B2
turtles,verb,B2
tutor,noun,B2
tweeting,noun,B2
unchanged,adjective,B2
uncovered,adj,B2
underwent,verb,B2
unified,adj,B2
unimaginable,adjective,B2
unusualness,noun,B2
Uphold,name,B2
urgency,noun,B2
URL,noun,B2
utilized,verb,B2
utter,adj,B2
UV,noun,B2
vacations,verb,B2
valuation,noun,B2
Vanessa,name,B2
vanguard,noun,B2
vanity,noun,B2
vans,verb,B2
variant,noun,B2
varieties,noun,B2
veil,noun,B2
Venezuela,name,B2
verbal,adjective,B2
verb,noun,B2
vibes,noun,B2
Vic,noun,B2
Viola,name,B2
visually,adv,B2
volunteering,noun,B2
Wagner,name,B2
waiver,verb,B2
walkabout,noun,B2
wandering,verb,B2
wan,adj,B2
warden,noun,B2
Warnings,name,B2
warp,verb,B2
warranty,noun,B2
wellbeing,noun,B2
wellness,noun,B2
wendy,noun,B2
wheeler,noun,B2
windy,noun,B2
womb,verb,B2
Wool,name,B2
wo,noun,B2
yahoo,noun,B2
Yemen,name,B2
Yugoslavia,name,B2
abba,noun,C1
aboard,preposition,C1
abrupt,noun,C1
absurdity,noun,C1
adaptable,adj,C1
adjoining,adjective,C1
adopts,verb,C1
adored,verb,C1
ADO,name,C1
AES,adj,C1
AE,name,C1
Affleck,name,C1
ageing,adj,C1
ahem,intj,C1
airmen,noun,C1
alienate,verb,C1
alluring,adj,C1
ALP,name,C1
Ames,name,C1
AMOs,noun,C1
amply,adverb,C1
angelic,adj,C1
ANI,name,C1
annum,noun,C1
APC,name,C1
apologizes,verb,C1
Appalachian,name,C1
appallingly,adverb,C1
appreciating,adj,C1
apprentices,verb,C1
Arcadia,name,C1
arched,adj,C1
arrears,noun,C1
assertions,noun,C1
assuring,adj,C1
astray,adverb,C1
Ayrshire,name,C1
bailed,verb,C1
bandits,noun,C1
Barnard,name,C1
battery,noun,C1
beauties,noun,C1
bedrock,verb,C1
Bergen,name,C1
Bernstein,name,C1
binoculars,noun,C1
biographical,adj,C1
BJ,name,C1
bliss,noun,C1
BM,noun,C1
boa,noun,C1
bog,noun,C1
boils,noun,C1
borrower,noun,C1
bribery,noun,C1
briefs,noun,C1
brill,noun,C1
buns,noun,C1
Burmese,name,C1
burrows,noun,C1
buzzer,noun,C1
cadence,noun,C1
Calais,name,C1
camper,noun,C1
Cams,name,C1
carb,noun,C1
Carrick,name,C1
Carver,name,C1
carve,verb,C1
catalytic,adj,C1
caveat,verb,C1
censors,verb,C1
chalice,noun,C1
Cheltenham,name,C1
Cheshire,name,C1
chill,verb,C1
classy,adjective,C1
cleanse,noun,C1
cleaver,noun,C1
Clintons,name,C1
clockwise,adj,C1
clutch,verb,C1
CN,noun,C1
Cohn,name,C1
commuter,noun,C1
compel,verb,C1
compiler,noun,C1
complainant,noun,C1
complied,verb,C1
concede,verb,C1
Cones,name,C1
congregate,verb,C1
contextual,adjective,C1
contrived,verb,C1
con,verb,C1
Corbyn,name,C1
counterproductive,adj,C1
coverage,noun,C1
craze,verb,C1
cropped,adj,C1
crossfit,verb,C1
crumb,noun,C1
crystalline,adj,C1
CST,name,C1
Czechoslovakia,name,C1
darby,noun,C1
dashboard,noun,C1
Daw,name,C1
daydream,verb,C1
deadliest,adj,C1
deformation,noun,C1
demography,noun,C1
derelict,noun,C1
descendant,noun,C1
deserts,noun,C1
detrimental,adjective,C1
devastation,noun,C1
diabetic,adj,C1
dialing,noun,C1
Dia,name,C1
disappointments,noun,C1
dislikes,noun,C1
dismay,verb,C1
distrust,verb,C1
dizzy,verb,C1
docile,adjective,C1
dodd,verb,C1
doggy,adv,C1
dorsal,noun,C1
drawbacks,noun,C1
Dre,name,C1
drive,noun,C1
dun,verb,C1
dyslexia,noun,C1
earle,noun,C1
eclectic,noun,C1
elevate,verb,C1
elevators,noun,C1
emeritus,noun,C1
enshrined,verb,C1
enterprising,adjective,C1
entrepreneurial,adj,C1
errand,verb,C1
evo,noun,C1
exclamation,noun,C1
excursion,verb,C1
exhilarating,adjective,C1
exterior,noun,C1
Exxon,name,C1
fanatic,noun,C1
fancies,verb,C1
farthest,adv,C1
FDR,noun,C1
Felicia,name,C1
ferns,noun,C1
fewest,det,C1
fiend,noun,C1
fiesta,verb,C1
firefighter,noun,C1
firsthand,adj,C1
flattery,noun,C1
Fling,name,C1
floppy,adj,C1
footed,verb,C1
fragmentation,noun,C1
francs,noun,C1
freezes,noun,C1
fullest,verb,C1
gallant,verb,C1
gasp,noun,C1
gd,noun,C1
Geez,name,C1
genomic,adj,C1
geologically,adverb,C1
Gillian,name,C1
Glacial,name,C1
Glastonbury,name,C1
glitches,noun,C1
Glock,name,C1
Godzilla,name,C1
gorge,noun,C1
gracefully,adv,C1
grate,noun,C1
ground,verb,C1
GUMP,phrase,C1
Gustav,name,C1
gypsy,noun,C1
hailing,noun,C1
hallways,noun,C1
Hana,name,C1
hauling,noun,C1
Hawkes,name,C1
Hawthorn,name,C1
headlining,verb,C1
heals,verb,C1
hearth,noun,C1
hence,adverb,C1
hereditary,noun,C1
heroism,noun,C1
het,verb,C1
Hickory,name,C1
hinge,noun,C1
hinting,verb,C1
holiness,noun,C1
humble,verb,C1
Hurley,name,C1
husky,noun,C1
hymns,verb,C1
impediment,noun,C1
imperative,noun,C1
improvisation,noun,C1
incisor,noun,C1
inexhaustible,adjective,C1
infernal,adj,C1
insecure,adjective,C1
inspires,verb,C1
instinctively,adv,C1
integral,adjective,C1
invitational,noun,C1
Isabelle,name,C1
isolate,verb,C1
jailbreak,verb,C1
jamming,noun,C1
Jayne,name,C1
JK,name,C1
jojo,noun,C1
judd,noun,C1
Kaufman,name,C1
Keaton,name,C1
kemp,adj,C1
kidnap,verb,C1
knuckle,noun,C1
kush,noun,C1
laird,verb,C1
lam,verb,C1
Lao,adj,C1
lap,noun,C1
LAT,noun,C1
lauded,verb,C1
leaned,verb,C1
levies,noun,C1
lew,adj,C1
limitless,adjective,C1
Lingo,name,C1
lisp,noun,C1
localized,verb,C1
lows,verb,C1
lube,adj,C1
magically,adv,C1
mainstay,noun,C1
Maison,name,C1
Malay,name,C1
malfunction,verb,C1
manifested,verb,C1
manifold,adj,C1
manipulating,verb,C1
manufactures,noun,C1
marlins,noun,C1
Massa,name,C1
masturbate,verb,C1
maximal,noun,C1
Maximus,name,C1
mayhem,noun,C1
meaninglessly,adverb,C1
mer,noun,C1
milking,noun,C1
mime,noun,C1
mishap,verb,C1
MLA,name,C1
moby,noun,C1
Mondays,noun,C1
morph,verb,C1
mot,noun,C1
MSC,name,C1
munch,verb,C1
nationalities,noun,C1
NAY,name,C1
negligently,adverb,C1
Nelly,name,C1
nib,noun,C1
nix,noun,C1
notation,noun,C1
nuclei,noun,C1
obscure,verb,C1
oceanic,adj,C1
optimize,verb,C1
outset,noun,C1
overland,adv,C1
overture,verb,C1
Paraguay,name,C1
paranormal,adj,C1
parasitic,noun,C1
parting,noun,C1
paternalistic,adjective,C1
Pauline,name,C1
PDT,name,C1
perpetuate,verb,C1
philips,noun,C1
pinching,noun,C1
pinnacle,noun,C1
pipelines,verb,C1
piping,noun,C1
pleasurable,adjective,C1
ploy,verb,C1
plumber,verb,C1
pointers,noun,C1
portrayal,noun,C1
possessive,noun,C1
PPG,noun,C1
premises,noun,C1
prequel,noun,C1
prolifically,adverb,C1
prolly,adv,C1
protons,noun,C1
psi,symbol,C1
psyche,noun,C1
Purses,name,C1
putt,noun,C1
Pyramids,name,C1
quaint,noun,C1
quasi,adj,C1
quirky,adjective,C1
reassurance,noun,C1
recon,verb,C1
reddish,adj,C1
redesign,verb,C1
refreshingly,adverb,C1
regaining,noun,C1
reinforces,verb,C1
relational,adj,C1
remorseless,adjective,C1
resent,verb,C1
reusable,noun,C1
revealing,adjective,C1
revert,verb,C1
rhea,noun,C1
Ripper,name,C1
rockin,adj,C1
ROC,name,C1
rohan,noun,C1
rumble,noun,C1
rune,noun,C1
ruptured,verb,C1
rupture,noun,C1
Russel,name,C1
rustle,noun,C1
saber,verb,C1
Salah,name,C1
salam,verb,C1
sap,noun,C1
Sarasota,name,C1
sash,verb,C1
SAS,name,C1
saucer,verb,C1
schizophrenic,noun,C1
scorn,verb,C1
screenplay,noun,C1
seminal,adj,C1
Seneca,noun,C1
sentimental,adjective,C1
Serpent,name,C1
Sheppard,name,C1
shipbuilding,noun,C1
shivering,verb,C1
shiver,noun,C1
Shoemaker,name,C1
signup,noun,C1
sill,adj,C1
silvery,adj,C1
sinners,noun,C1
skaters,noun,C1
sketch,noun,C1
skim,noun,C1
slapping,verb,C1
slums,verb,C1
slur,noun,C1
smoothing,noun,C1
somersault,noun,C1
speck,verb,C1
spectacularly,adv,C1
spence,noun,C1
spontaneously,adverb,C1
Stains,name,C1
startling,adjective,C1
statistic,noun,C1
steaming,noun,C1
stimulant,adj,C1
Stockton,name,C1
stray,verb,C1
stringent,adj,C1
stroking,noun,C1
strung,verb,C1
studded,verb,C1
stuffing,verb,C1
stuffy,adj,C1
stumps,verb,C1
subtly,adverb,C1
succulent,noun,C1
summarized,verb,C1
Summits,name,C1
summons,noun,C1
superhuman,adj,C1
supple,adjective,C1
surging,noun,C1
tactfully,adverb,C1
Tahoe,name,C1
tam,noun,C1
tedious,adjective,C1
thorns,verb,C1
tiniest,adj,C1
tinker,noun,C1
TK,noun,C1
toasted,adj,C1
tod,verb,C1
Toms,name,C1
toms,noun,C1
Toon,name,C1
torpedo,verb,C1
trailed,verb,C1
transatlantic,adjective,C1
tris,noun,C1
trivia,noun,C1
tru,adj,C1
tsk,verb,C1
twig,noun,C1
UCL,name,C1
unconventional,adj,C1
unexplained,adj,C1
unlicensed,adj,C1
unnatural,adj,C1
unveils,verb,C1
upbringing,noun,C1
Urbana,name,C1
Ver,name,C1
Vices,name,C1
Voltaire,name,C1
Vuitton,name,C1
waxed,verb,C1
waxing,noun,C1
wd,verb,C1
wealthier,adj,C1
wen,adv,C1
westerly,adj,C1
wheaton,noun,C1
widen,verb,C1
wiggle,noun,C1
winnie,noun,C1
wits,noun,C1
wp,noun,C1
Yoon,noun,C1
Yoruba,name,C1
youngster,noun,C1
Yusuf,name,C1
Zambia,name,C1
aagh,intj,C2
aberration,noun,C2
accrue,verb,C2
addenda,noun,C2
addicting,adj,C2
adhere,verb,C2
agile,adjective,C2
ahm,intj,C2
alewife,noun,C2
allotropes,noun,C2
Althouse,name,C2
amorphously,adverb,C2
Angeleno,noun,C2
anthropological,adjective,C2
arcanely,adverb,C2
Arminian,noun,C2
arrabbiata,adj,C2
artesian,noun,C2
Asche,name,C2
assimilation,noun,C2
audiological,adj,C2
austerity,noun,C2
averred,verb,C2
backlot,noun,C2
banish,verb,C2
Beaudette,name,C2
beetling,adj,C2
behaviorally,adv,C2
belvedere,noun,C2
besiege,verb,C2
betas,noun,C2
bix,noun,C2
blackbox,verb,C2
blearily,adv,C2
blotted,adj,C2
bodhran,noun,C2
bodyboarding,verb,C2
Boitano,name,C2
bonked,verb,C2
Borna,name,C2
bout,noun,C2
brogue,noun,C2
buccaneer,noun,C2
Calabrese,name,C2
calculational,adj,C2
calorific,adjective,C2
cantar,noun,C2
Cardamone,name,C2
catamounts,noun,C2
Caws,name,C2
Celis,name,C2
channer,noun,C2
Chieveley,name,C2
chim,adj,C2
chlorinated,verb,C2
chronology,noun,C2
chron,noun,C2
cinque,noun,C2
clops,noun,C2
cocoon,verb,C2
commensurately,adverb,C2
condiments,noun,C2
conduit,noun,C2
consign,verb,C2
contraption,noun,C2
contrapuntal,adj,C2
cosset,verb,C2
Cotai,name,C2
courtrooms,noun,C2
Cribb,name,C2
Cullingworth,name,C2
dampen,verb,C2
dawns,noun,C2
Defoe,name,C2
demystify,verb,C2
derelict,adjective,C2
detractor,noun,C2
diddle,noun,C2
diffuse,verb,C2
dimple,verb,C2
disperse,verb,C2
doncha,contraction,C2
dozing,verb,C2
drabness,noun,C2
Drost,name,C2
Ecatepec,name,C2
echolocate,verb,C2
Edgecumbe,name,C2
EHL,noun,C2
elation,noun,C2
embolden,verb,C2
emulsification,noun,C2
encroaches,verb,C2
Enders,name,C2
ephemera,noun,C2
Espina,name,C2
ESR,noun,C2
euphemistically,adverb,C2
exasperatingly,adv,C2
extant,adjective,C2
Fallers,name,C2
farcical,adjective,C2
Finlay,name,C2
fishtail,verb,C2
Fitzrovia,name,C2
flaks,noun,C2
floe,noun,C2
Foch,noun,C2
foghorn,noun,C2
fords,noun,C2
foresaid,verb,C2
freestyles,noun,C2
fruition,noun,C2
fucoxanthin,noun,C2
Fuquay,name,C2
Galston,name,C2
Ganderbal,name,C2
Gangadhar,name,C2
gastronomic,adj,C2
gesticulations,noun,C2
gherao,verb,C2
gimp,noun,C2
Gliese,name,C2
Gossman,name,C2
gout,noun,C2
graptolites,noun,C2
gravelling,noun,C2
Guangchang,name,C2
hapless,adjective,C2
hermetic,adjective,C2
hitchhike,verb,C2
holidaying,verb,C2
horridly,adv,C2
hotelier,noun,C2
hucks,verb,C2
hysterically,adverb,C2
ibrutinib,noun,C2
imperceptibly,adverb,C2
inactivate,verb,C2
incongruity,noun,C2
indolent,adjective,C2
inexpert,noun,C2
infallibility,noun,C2
ingratiatingly,adverb,C2
interpolated,verb,C2
interrogation,noun,C2
ISCI,noun,C2
IWB,prep_phrase,C2
jabbering,noun,C2
jaggies,noun,C2
jargon,noun,C2
jester,verb,C2
jewelers,noun,C2
Katya,name,C2
Kazumi,name,C2
kep,noun,C2
Kufa,name,C2
laudatory,adjective,C2
Laurentia,name,C2
lawbreakers,noun,C2
lensing,noun,C2
lesional,adj,C2
lipreading,verb,C2
Lowman,name,C2
lurchers,noun,C2
lyrically,adverb,C2
Macray,name,C2
magnesia,noun,C2
maliciously,adverb,C2
Malpica,name,C2
manipulatable,adj,C2
Mariage,name,C2
masquerading,verb,C2
mazurka,noun,C2
mediation,noun,C2
mercenary,noun,C2
methodologically,adverb,C2
Mikesell,name,C2
Mima,name,C2
minuteness,noun,C2
mixt,adj,C2
Modena,name,C2
modernisation,noun,C2
moor,noun,C2
Mouseketeer,noun,C2
mTOR,noun,C2
muskrats,noun,C2
nascent,adjective,C2
Ngan,name,C2
Nielsens,name,C2
nonagon,noun,C2
oblique,adjective,C2
Olena,name,C2
ostensibly,adverb,C2
outed,verb,C2
outfront,adj,C2
outmigration,noun,C2
overaged,verb,C2
Palaeologus,name,C2
palau,noun,C2
panning,noun,C2
paralysis,noun,C2
paralyzer,noun,C2
pegylated,adj,C2
pennants,noun,C2
pervasive,adjective,C2
petard,verb,C2
physiological,adjective,C2
pidgeon,noun,C2
